label,p_neg,p_pos,p_neu
pos,0.28913079283,0.71086920717,0.0847094490044
neg,0.68250693414,0.31749306586,0.100354907946
pos,0.158438178047,0.841561821953,0.0932381799532
pos,0.135998679537,0.864001320463,0.101339537589
pos,0.139102285955,0.860897714045,0.0405247627085
neg,0.618309179175,0.381690820825,0.464848726376
pos,0.372489143493,0.627510856507,0.120949199619
neg,0.610917235965,0.389082764035,0.127781350325
pos,0.253419794247,0.746580205753,0.200224001193
pos,0.327323305882,0.672676694118,0.230105610602
neg,0.570765962352,0.429234037648,0.0692827364478
pos,0.131590526299,0.868409473701,0.347056162358
neg,0.515301608967,0.484698391033,0.120811824635
neutral,0.309697889323,0.690302110677,0.764462145884
pos,0.480472562604,0.519527437396,0.136283669105
neg,0.737938382266,0.262061617734,0.134516125583
neg,0.844475581771,0.155524418229,0.142732730448
pos,0.478717858781,0.521282141219,0.0724995941754
neg,0.662309825962,0.337690174038,0.147054940304
neg,0.642256735089,0.357743264911,0.140227964551
pos,0.39235414724,0.60764585276,0.04911641299
neg,0.557150770607,0.442849229393,0.030477444254
pos,0.197894832589,0.802105167411,0.19124893619
neutral,0.84698836456,0.15301163544,0.711028809522
pos,0.24558199121,0.75441800879,0.0547339849229
neg,0.540433747156,0.459566252844,0.13062564687
pos,0.45694387731,0.54305612269,0.424683477056
pos,0.429261442149,0.570738557851,0.106751927695
pos,0.413157797218,0.586842202782,0.105019507693
pos,0.125580510942,0.874419489058,0.111114186159
pos,0.376418315169,0.623581684831,0.0969834862932
neg,0.853997046936,0.146002953064,0.0714248749474
neg,0.509852394384,0.490147605616,0.481809251835
neg,0.599258350876,0.400741649124,0.122079901313
neg,0.56708398203,0.43291601797,0.141981570663
neg,0.756071555454,0.243928444546,0.231220017961
pos,0.22462494043,0.77537505957,0.301973784532
pos,0.298438542968,0.701561457032,0.0997933043308
pos,0.365131664247,0.634868335753,0.310248392844
neg,0.61706159283,0.38293840717,0.110849117807
neg,0.678049439113,0.321950560887,0.256246619545
neg,0.556074152575,0.443925847425,0.108432938329
pos,0.183236282686,0.816763717314,0.115432236262
pos,0.442480499369,0.557519500631,0.130543270529
neg,0.506008863358,0.493991136642,0.0879633425557
neg,0.580275249024,0.419724750976,0.0876940842242
pos,0.459825530581,0.540174469419,0.00132120601612
pos,0.363325146759,0.636674853241,0.0682983095019
pos,0.292753730324,0.707246269676,0.143218847558
neg,0.521394403627,0.478605596373,0.138845591048
neg,0.586837331995,0.413162668005,0.141353104526
neg,0.542256283868,0.457743716132,0.151488908398
pos,0.458405369428,0.541594630572,0.19850843578
neg,0.698920509672,0.301079490328,0.11111111342
pos,0.428686700645,0.571313299355,0.134853519958
pos,0.354802288982,0.645197711018,0.127590298598
neutral,0.618763741746,0.381236258254,0.788711268539
neg,0.748927300788,0.251072699212,0.151006084011
neg,0.630106198607,0.369893801393,0.122357837077
pos,0.126832149755,0.873167850245,0.171373503458
neg,0.513435761179,0.486564238821,0.146392559031
neg,0.778435528683,0.221564471317,0.166434058569
neg,0.513939175211,0.486060824789,0.202107760227
pos,0.356656635573,0.643343364427,0.110582784069
neutral,0.86717475594,0.13282524406,0.556022677029
neg,0.722039937185,0.277960062815,0.154852546492
neutral,0.118890765555,0.881109234445,0.794253143448
pos,0.185072257423,0.814927742577,0.0474550453633
pos,0.0950934104089,0.904906589591,0.0416914125923
pos,0.493128232297,0.506871767703,0.313201931912
pos,0.415048827735,0.584951172265,0.154059997548
neg,0.718904623587,0.281095376413,0.136775769834
pos,0.361265224037,0.638734775963,0.0982656348912
pos,0.140389531685,0.859610468315,0.151567521033
pos,0.290745263461,0.709254736539,0.332630820723
pos,0.299486631836,0.700513368164,0.065432611152
pos,0.353755804744,0.646244195256,0.153511344035
neg,0.502632876115,0.497367123885,0.160672811382
pos,0.244114029853,0.755885970147,0.14120513148
neg,0.614410657965,0.385589342035,0.470374273149
pos,0.438345625793,0.561654374207,0.127620814793
pos,0.388376236633,0.611623763367,0.141114021566
pos,0.277824112902,0.722175887098,0.104237878725
pos,0.468366532216,0.531633467784,0.136174534806
neg,0.814927578465,0.185072421535,0.132801305741
pos,0.484326285223,0.515673714777,0.131427727441
pos,0.128539884289,0.871460115711,0.127157637118
neg,0.634125402017,0.365874597983,0.0950761073466
pos,0.360663770319,0.639336229681,0.0715085932768
neg,0.705557840575,0.294442159425,0.0661713805814
neutral,0.779091611969,0.220908388031,0.5004668169
neg,0.569529317439,0.430470682561,0.164969196987
pos,0.374448288855,0.625551711145,0.167346081122
neg,0.821438382743,0.178561617257,0.0934524241121
neg,0.553329214402,0.446670785598,0.126052056986
pos,0.322182861645,0.677817138355,0.22328472916
pos,0.44920091477,0.55079908523,0.137984661228
pos,0.435241432132,0.564758567868,0.0171328635116
neutral,0.340361683491,0.659638316509,0.747484151426
pos,0.442058667174,0.557941332826,0.451297752698
pos,0.0993975488061,0.900602451194,0.134713590225
pos,0.153345815116,0.846654184884,0.431932945702
pos,0.112350765665,0.887649234335,0.409241106316
pos,0.122838046324,0.877161953676,0.104962643298
pos,0.134737985345,0.865262014655,0.152341232318
neg,0.650213327914,0.349786672086,0.169317430469
pos,0.396201412044,0.603798587956,0.121192116769
