business_id,categories,city,full_address,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type
rncjoVoEFUJGCUoC1JgnUA,"Accountants,Professional Services,Tax Services,Financial Services",Peoria,"8466 W Peoria Ave
Ste 6
Peoria, AZ 85345",33.581867,-112.241596,Peoria Income Tax Service,,True,3,5.0,AZ,business
0FNFSzCFP_rGUoJx8W7tJg,"Sporting Goods,Bikes,Shopping",Phoenix,"2149 W Wood Dr
Phoenix, AZ 85029",33.604054,-112.105933,Bike Doctor,,True,5,5.0,AZ,business
3f_lyB6vFK48ukH6ScvLHg,,Phoenix,"1134 N Central Ave
Phoenix, AZ 85004",33.4605258,-112.0739333,Valley Permaculture Alliance,,True,4,5.0,AZ,business
usAsSV36QmUej8--yvN-dg,"Food,Grocery",Phoenix,"845 W Southern Ave
Phoenix, AZ 85041",33.3922099,-112.0853773,Food City,,True,5,3.5,AZ,business
PzOqRohWw7F7YEPBz6AubA,"Food,Bagels,Delis,Restaurants",Glendale Az,"6520 W Happy Valley Rd
Ste 101
Glendale Az, AZ 85310",33.712797,-112.200264,Hot Bagels & Deli,,True,14,3.5,AZ,business
gtQzAiy7D-dPU8WzT3jX3Q,"Women's Clothing,Fashion,Shopping",Glendale,"The Americana at Brand
869 Americana Way
Glendale, CA 91210",33.6077660588,-112.481632233,Barney's New York Co-op,,True,6,4.5,CA,business
FrBCYtCS_jydDjg1KsIgWQ,"Music & DVDs,Books, Mags, Music & Video,Vinyl Records,Shopping",Phoenix,"1850 W Camelback Rd
Ste 1
Phoenix, AZ 85015",33.5096582,-112.0987501,Zia Record Exchange,,True,21,3.5,AZ,business
yaXAD-Mv2K2PEZobmqjIYA,"Event Planning & Services,Venues & Event Spaces",Phoenix,"3415 W Northern Ave
Phoenix, AZ 85051",33.551903,-112.132866,Reflections Bingo,,True,4,5.0,AZ,business
o3ehs4ZEdsizbJyB9_j7uQ,"Art Schools,Specialty Schools,Shopping,Jewelry,Accessories,Fashion,Education",Scottsdale,"6938 E 1st St
Scottsdale, AZ 85251",33.492195,-111.9312992,Jam,,True,14,5.0,AZ,business
qarobAbxGSHI7ygf1f7a_Q,"Sandwiches,Restaurants",Gilbert,"891 E Baseline Rd
Suite 102
Gilbert, AZ 85233",33.3788385,-111.8120071,Jersey Mike's Subs,,True,10,3.5,AZ,business
C1xciP65n4t4R1Q4h1zOHw,"Music & DVDs,Books, Mags, Music & Video,Musical Instruments & Teachers,Shopping",Scottsdale,"8860 E Chaparral Rd
Ste 100
Scottsdale, AZ 85250",33.5135194,-111.8887889,Fender Musical Instruments Corporation,,True,4,4.5,AZ,business
gA5CuBxF-0CnOpGnryWJdQ,"Mexican,Restaurants",Phoenix,"519 W Thomas Rd
Phoenix, AZ 85013",33.480105,-112.0813612,La Paloma Mexican Food,,True,5,4.0,AZ,business
acaBJcFEKPmmSDIO6c-ZGQ,"Food,Grocery",Goodyear,"2075 N Pebble Creek Pkwy
Goodyear, AZ 85395",33.468815,-112.3920218,Basha's,,True,3,3.0,AZ,business
JxVGJ9Nly2FFIs_WpJvkug,"Pizza,Restaurants",Scottsdale,"14418 N Scottsdale Rd
Suite 181
Scottsdale, AZ 85254",33.6174589,-111.926272,Sauce,,True,55,4.0,AZ,business
9iLiMm3Z9nepRDu1AhgEoQ,"Hotels & Travel,Event Planning & Services,Hotels",Chandler,"3535 W Chandler Blvd
Chandler, AZ 85226",33.3054266,-111.9032256,Windmill Inns & Suites,,True,7,4.5,AZ,business
G2Re2E5Jkv_UF1xrenSsDg,"Department Stores,Fashion,Shopping",Phoenix,"4500 E Cactus Rd
Phoenix, AZ 85032",33.5993236,-111.9820907,Macy's,,True,11,4.0,AZ,business
8lTdJA9GK59-NzJwleSJBQ,"Window Washing,Home Services",Tempe,"7501 S McAllister Ave
Tempe, AZ 85283",33.3503,-111.931256,Clearly Professional Window Cleaning,,True,12,5.0,AZ,business
Jj7bcQ6NDfKoz4TXwvYfMg,"Burgers,Restaurants",Phoenix,"8941 N Black Canyon Hwy
Phoenix, AZ 85021",33.566989,-112.116243,Fuddruckers,,True,23,4.0,AZ,business
OMXAkiWyKz0AM6PwwuP38Q,"Kitchen & Bath,Shopping,Home & Garden",Chandler,"7131 W Ray Rd
Suite 14
Chandler, AZ 85226",33.317906,-111.964138,Sur La Table,,True,15,4.0,AZ,business
K0v87iFgB3sXSzw6e-BJ5w,"Food,Beer, Wine & Spirits",Carefree,"100 Easy St
Carefree, AZ 85377",33.8242305,-111.9229042,AZ Wine Company,,True,8,4.5,AZ,business
jcQgDviuCuJLJWjYoTy9MA,"Plumbing,Home Services",Mesa,"Mesa, AZ 85215",33.519545,-111.5468301,Rocket Rooter Plumbing and Drain Service,,True,4,5.0,AZ,business
QL3vFMAsEHqfi1KGH-4igg,"Bars,Nightlife,Lounges",Scottsdale,"Mondrian Hotel Scottsdale
7353 E Indian School Rd
Scottsdale, AZ 85251",33.49447,-111.924226,Red Bar,,False,11,3.0,AZ,business
yOYFhiTjT-SM4spKtDk92w,"Buffets,Dim Sum,Chinese,Restaurants",Phoenix,"10227 N Metro Pkwy E
Phoenix, AZ 85051",33.5803589,-112.120516,China Chan Restaurant,,False,42,3.5,AZ,business
4IAzFJ159GEaIGX1-y6Bmw,"Burgers,Fast Food,Restaurants",Scottsdale,"9251 E Shea Blvd
Scottsdale, AZ 85258",33.581867,-111.881625,McDonald's,,True,3,2.5,AZ,business
s02x9kPbZii-uw1x0Oyy6w,"Department Stores,Fashion,Shopping,Drugstores",Scottsdale,"32351 N Scottsdale Rd
Scottsdale, AZ 85262",33.7801176,-111.9257696,Target Stores,,True,5,3.5,AZ,business
e9JhcYEgNbRL8i8CTdQO2w,"Shopping Centers,Shopping",Scottsdale,"15205 N Kierland Blvd
Ste 150
Scottsdale, AZ 85254",33.624638,-111.930343,Kierland Commons,,True,54,4.5,AZ,business
MLAnvEcvDfOWELHUN_0xEw,"Food,Breweries,American (New),Restaurants",Scottsdale,"7001 N Scottsdale Rd
Ste 147
Scottsdale, AZ 85253",33.5388471,-111.9641728,Nimbus American Bistro N' Brewery,,False,85,3.0,AZ,business
BtKwRZRMyTIi9BRFk-75sQ,"Active Life,Dog Parks,Amateur Sports Teams,Parks",Glendale,"W Union Hills Dr
Glendale, AZ 85308",33.6570846738,-112.179572582,Foothills Park,,True,15,4.0,AZ,business
